16,-7.5,17,-7.5
16,-10.5,17,-10.5
16,-3.5,17,-3.5
18.5,-91,18.5,-90
17.5,-39,17.5,-38
18.5,-15,18.5,-14
16,-15.5,17,-15.5
17.5,-109,17.5,-108
17.5,-93,17.5,-92
17.5,-45,17.5,-44
17.5,-121,17.5,-120
18.5,-115,18.5,-114
18.5,-101,18.5,-100
16,-99.5,17,-99.5
17.5,-99,17.5,-98
17.5,-59,17.5,-58
17.5,-55,17.5,-54
17.5,-31,17.5,-30
17.5,-27,17.5,-26
17.5,-17,17.5,-16
18.5,-13,18.5,-12
17.5,-47,17.5,-46
16,-48.5,17,-48.5
17.5,-65,17.5,-64
20.5,-51,20.5,-50
24,-127,24,-126
18,-119.5,19,-119.5
18,-111.5,19,-111.5
18,-107.5,19,-107.5
18,-103.5,19,-103.5
18,-97.5,19,-97.5
18,-93.5,19,-93.5
18,-77.5,19,-77.5
18,-70.5,19,-70.5
18,-65.5,19,-65.5
18,-60.5,19,-60.5
18,-53.5,19,-53.5
18,-47.5,19,-47.5
18,-43.5,19,-43.5
18,-37.5,19,-37.5
18,-33.5,19,-33.5
18,-29.5,19,-29.5
18,-24.5,19,-24.5
18,-19.5,19,-19.5
19.5,-123,19.5,-122
18,-123.5,19,-123.5
19.5,-113,19.5,-112
19.5,-95,19.5,-94
19.5,-63,19.5,-62
19.5,-49,19.5,-48
19.5,-43,19.5,-42
19.5,-11,19.5,-10
18,-9.5,19,-9.5
19.5,-5,19.5,-4
18,-5.5,19,-5.5
21.5,-125,21.5,-124
19.5,-107,19.5,-106
19.5,-85,19.5,-84
19.5,-83,19.5,-82
18,-80.5,19,-80.5
19.5,-73,19.5,-72
19.5,-67,19.5,-66
20.5,-53,20.5,-52
19.5,-37,19.5,-36
19.5,-33,19.5,-32
19.5,-29,19.5,-28
20.5,-9,20.5,-8
22.5,-7,22.5,-6
22.5,-119,22.5,-118
20,-115.5,21,-115.5
20,-110.5,21,-110.5
20,-105.5,21,-105.5
20,-101.5,21,-101.5
20,-93.5,21,-93.5
20,-87.5,21,-87.5
20,-74.5,21,-74.5
20,-65.5,21,-65.5
20,-67.5,21,-67.5
20,-59.5,21,-59.5
20,-47.5,21,-47.5
20,-43.5,21,-43.5
20,-39.5,21,-39.5
20,-35.5,21,-35.5
20,-31.5,21,-31.5
20,-15.5,21,-15.5
20,-11.5,21,-11.5
20,-3.5,21,-3.5
21.5,-123,21.5,-122
20,-81.5,21,-81.5
20,-26.5,21,-26.5
21,-109,21,-108
21.5,-105,21.5,-104
21.5,-103,21.5,-102
21.5,-99,21.5,-98
21,-98,20,-98
21.5,-97,21.5,-96
22.5,-93,22.5,-92
23.5,-81,23.5,-80
22.5,-77,22.5,-76
21.5,-69,21.5,-68
21.5,-65,21.5,-64
21.5,-47,21.5,-46
21.5,-39,21.5,-38
21.5,-35,21.5,-34
23.5,-31,23.5,-30
21.5,-25,21.5,-24
21.5,-21,21.5,-20
20,-19.5,21,-19.5
24.5,-19,24.5,-18
21.5,-3,21.5,-2
22.5,-117,22.5,-116
22.5,-45,22.5,-44
21.5,-57,21.5,-56
22,-121.5,23,-121.5
22,-109.5,23,-109.5
22,-103.5,23,-103.5
22,-105.5,23,-105.5
22,-99.5,23,-99.5
22,-95.5,23,-95.5
22,-69.5,23,-69.5
22,-65.5,23,-65.5
22,-54.5,23,-54.5
22,-40.5,23,-40.5
22,-35.5,23,-35.5
22,-25.5,23,-25.5
22,-21.5,23,-21.5
22,-11.5,23,-11.5
22,-1.5,23,-1.5
23.5,-71,23.5,-70
23.5,-115,23.5,-114
22,-113.5,23,-113.5
23.5,-67,23.5,-66
23.5,-61,23.5,-60
22,-59.5,23,-59.5
23.5,-59,23.5,-58
23.5,-37,23.5,-36
23,-121,23,-120
23.5,-111,23.5,-110
23.5,-91,23.5,-90
22,-87.5,23,-87.5
23.5,-85,23.5,-84
23.5,-27,23.5,-26
27.5,-113,27.5,-112
23.5,-107,23.5,-106
23.5,-101,23.5,-100
24.5,-95,24.5,-94
23.5,-75,23.5,-74
23.5,-43,23.5,-42
23.5,-23,23.5,-22
27.5,-15,27.5,-14
24,-125.5,25,-125.5
24,-115.5,25,-115.5
24,-108.5,25,-108.5
24,-91.5,25,-91.5
24,-83.5,25,-83.5
24,-77.5,25,-77.5
24,-72.5,25,-72.5
24,-69.5,25,-69.5
24,-65.5,25,-65.5
24,-61.5,25,-61.5
